Lemma,ID,Eng Gloss,POS,Level,Word source,Ex. ID,Form,Analysis,Example Sentence,Translation,Reference,Topic(s),,
помнить,927,remember,V,A1,МН,2,помните,Imperf.Plur.2,"Помните, как мы ездили в Берлин прошлым летом?",Remember our trip to Berlin last summer?,_,внутренний мир,,
помнить,928,remember,V,A1,МН,3,помнить,Imperf.Inf,Невозможно всё помнить.,It's impossible to remember everything.,_,внутренний мир,,
этаж,929,floor,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",1,этажа,Gen.Sing,В моём загородном доме три этажа.,There are three floors in my summerhouse.,_,жильё,,
этаж,930,floor,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",2,этаже,Loc.Sing,Я живу на десятом этаже.,I live on the 10th floor.,_,жильё,,
этаж,931,floor,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",3,этаж,Acc.Sing,Мне тяжело подниматься пешком на девятый этаж.,It's hard for me to walk up to the 9th floor.,_,жильё,,
исторический,932,historical,A,A1,"Golosa, MiP, МН",1,исторических,Gen.Plur,Александр – доктор исторических наук и профессор.,"Alexandr has a PhD in History, and he is a professor.",_,описание,,
исторический,933,historical,A,A1,"Golosa, MiP, МН",2,историческая,Nom.Fem.Sing,Историческая наука появилась в Древней Греции.,The study of history dates back to ancient Greece.,_,описание,,
исторический,934,historical,A,A1,"Golosa, MiP, МН",3,исторический,Inan.Acc.Masc.Sing,В выходные мы поедем на исторический фестиваль.,We will go to a historical festival this weekend.,_,описание,,
февраль,935,February,N.Masc.Inan,A1,"MiP, LM, МН",1,февраля,Gen.Sing,У моей мамы день рождения двенадцатого февраля.,My mom has her birthday on the 12th of February.,_,время,,
февраль,936,February,N.Masc.Inan,A1,"MiP, LM, МН",2,феврале,Loc.Sing,В феврале я уезжаю в Германию.,I'll go to Germany in February.,_,время,,
городской,937,city,A,A1,"MiP, LM, МН",1,городских,Gen.Plur,Больницу построили по решению городских властей.,The hospital was built after a decision by the municipal authorities.,_,"описание, жильё",,
городской,938,city,A,A1,"MiP, LM, МН",2,городские,Nom.Plur,Городские жители вышли на митинг.,The city residents went to a rally.,_,"описание, жильё",,
городской,939,city,A,A1,"MiP, LM, МН",3,городской,Loc.Fem.Sing,Концерт пройдёт на городской площади.,The concert will take place at the town square.,_,"описание, жильё",,
будущий,940,future,A,A1,"Golosa, MiP, МН",1,будущих,Gen.Plur,Это очень важно для будущих поколений.,It's very important for future generations.,_,"время, описание",,
будущий,941,future,A,A1,"Golosa, MiP, МН",2,будущий,Nom.Masc.Sing,Лёша – будущий инженер.,Lyosha is a future engineer.,_,"время, описание",,
будущий,942,future,A,A1,"Golosa, MiP, МН",3,будущей,Gen.Fem.Sing,Встретимся на будущей неделе.,See you next week.,_,"время, описание",,
